Year,Length,Jazz,Rock,Hit?
1913.0,5.88,yes,no,yes
1918.0,6.55,yes,no,yes
1999.0,6.23,no,no,no
1969.0,4.41,no,no,no
1930.0,6.86,yes,no,yes
1935.0,5.72,no,yes,no
1941.0,4.86,yes,no,yes
1966.0,4.34,yes,yes,yes
1922.0,5.80,yes,no,yes
1932.0,6.69,yes,no,yes
1929.0,1.05,yes,no,yes
1972.0,4.94,yes,yes,yes
1909.0,4.97,yes,no,yes
1902.0,5.26,yes,no,yes
1935.0,2.50,yes,no,yes
1948.0,6.76,yes,no,yes
1969.0,2.23,yes,no,no
1988.0,4.81,yes,no,no
1976.0,5.56,yes,no,yes
1918.0,3.58,no,yes,no
1981.0,4.25,yes,no,yes
1945.0,6.58,yes,no,yes
1954.0,5.98,yes,no,no
1983.0,2.20,yes,no,no
1944.0,6.77,yes,no,yes
1936.0,6.17,yes,no,no
1914.0,3.00,yes,no,yes
1931.0,4.40,yes,no,yes
1955.0,5.41,yes,no,no
1952.0,4.37,no,no,no
1944.0,5.08,yes,no,yes
1999.0,1.12,no,no,no
1955.0,6.99,yes,no,no
1995.0,4.52,no,no,no
1957.0,1.91,yes,no,no
1918.0,6.61,yes,no,yes
1973.0,6.50,yes,no,no
1967.0,5.22,yes,no,no
1955.0,5.94,yes,yes,yes
1923.0,4.78,yes,no,yes
1956.0,4.35,yes,yes,yes
1906.0,3.95,yes,no,yes
1924.0,4.50,yes,no,yes
1997.0,5.32,yes,yes,yes
1959.0,4.78,no,no,no
1932.0,4.08,yes,no,yes
1974.0,4.80,no,no,no
1921.0,4.25,yes,no,yes
1986.0,6.41,yes,no,no
1996.0,4.33,yes,yes,yes
1914.0,4.29,yes,no,yes
1958.0,6.74,yes,no,no
1939.0,5.90,yes,no,yes
1945.0,5.64,yes,no,yes
1962.0,6.94,yes,no,no
1960.0,4.22,no,no,yes
1945.0,5.30,yes,no,yes
1910.0,6.28,yes,no,yes
1968.0,1.24,yes,no,no
1983.0,4.05,no,no,no
1941.0,6.94,yes,no,yes
1908.0,5.80,no,yes,no
1957.0,6.85,yes,yes,yes
1921.0,6.61,no,yes,no
1983.0,6.15,yes,yes,yes
1985.0,3.63,yes,no,no
1913.0,5.98,yes,no,yes
1934.0,5.32,no,yes,yes
1935.0,1.33,yes,no,yes
1920.0,6.44,yes,no,yes
1920.0,6.85,yes,no,no
1948.0,4.30,no,yes,no
1961.0,4.36,yes,no,no
1995.0,4.52,no,no,no
1920.0,4.17,yes,no,no
1904.0,4.29,yes,no,yes
1922.0,5.56,no,yes,no
1989.0,6.96,no,yes,yes
1911.0,3.26,yes,no,yes
1963.0,6.57,yes,no,no
1967.0,6.32,yes,no,no
1980.0,6.67,yes,no,no
1985.0,6.14,yes,yes,yes
1945.0,4.42,no,yes,no
1995.0,4.68,yes,yes,yes
1970.0,4.83,yes,no,no
1964.0,5.25,no,no,yes
1982.0,5.62,yes,no,no
1990.0,6.79,no,yes,yes
1946.0,6.65,yes,no,yes
1932.0,6.66,yes,no,yes
1919.0,6.70,yes,no,yes
1980.0,5.32,yes,yes,yes
1982.0,6.16,yes,yes,yes
1900.0,5.67,no,yes,no
1991.0,4.71,yes,no,yes
1969.0,5.77,yes,no,no
1945.0,6.04,yes,no,yes
1925.0,5.46,yes,no,yes
1974.0,5.82,no,no,no
